Time,RPM
17:32:07,0
17:32:08,0
17:32:09,0
17:32:10,0
17:32:11,0
17:32:12,0
17:32:13,0
17:32:14,0
17:32:15,0
17:32:16,0
17:32:17,0
17:32:18,0
17:32:19,0
17:32:20,0
17:32:21,0
17:32:22,0
17:32:23,0
17:32:24,0
17:32:25,0
17:32:26,455
17:32:27,620
17:32:28,160
17:32:29,380
17:32:30,285
17:32:31,170
17:32:32,260
17:32:33,265
17:32:34,175
17:32:35,380
17:32:36,290
17:32:37,265
17:32:38,315
17:32:39,255
17:32:40,185
17:32:41,420
17:32:42,175
17:32:43,330
17:32:44,125
17:32:45,295
17:32:46,310
17:32:47,225
